forward_bytes,backward_bytes,ratio,byte_rate,duration,label
453598,234198,1.9368058787612243,19974.01326237836,22.709407170283857,0
420333,2405980,0.174703374631803,43675.50556117842,9.623998499827758,0
366970,956077,0.3838285160834158,18932.64157168124,19.38292649816497,0
314768,953444,0.33013755381799686,78183.7427972893,4.026003216757145,0
9032,52610,0.17167512497386478,983.1789193291565,9.186527317085604,0
385267,1757091,0.21926398845364956,13658.154641046114,28.207837012049776,0
96120,95910,1.0021791035439105,7065.5509025747915,13.604034749077025,0
350249,610019,0.5741598636110291,30112.291052330987,11.631429816858365,0
159779,1490013,0.10723322062745719,5342.504963824426,29.90713178217103,0
250292,1597223,0.15670438210294863,12482.047216110093,20.052159366690894,0
281309,2252245,0.12490154272668261,83313.70710341448,3.3765032163413484,0
221123,1710387,0.1292823616629677,12623.283172225474,17.517075152566367,0
301907,267142,1.1301325507312563,17710.66916752331,17.046617332427942,0
374958,993375,0.37745828367103695,127712.97309683084,2.9359429266102057,0
229021,855675,0.2676492036705482,15768.839697496487,14.523643108399417,0
477759,3083389,0.1549460172083324,16637.561805039866,28.715685963990033,0
478186,2097870,0.22793870547807754,79964.96420989673,5.979943900741697,0
22156,192631,0.11501723493500561,1652.6060622489285,13.40670381533593,0
179408,1211911,0.14803715121229924,7817.10819102694,22.9506865730652,0
416684,2791319,0.1492784775661694,70478.9588099074,5.912175875410714,0
244735,2287823,0.10697282658106567,8696.120474092131,28.143009371722183,0
122938,545572,0.2253373975618295,17487.453213420897,7.030068844195688,0
247191,1828691,0.1351736651114567,10014.25116250014,24.683922540872913,0
217375,512749,0.42393954168698195,11007.558101048251,19.747794924589073,0
284068,1926244,0.14747241394526656,13771.231612594442,20.627639414633503,0
368349,1929093,0.1909440390152061,19484.062087286977,18.90514402745316,0
488884,3063569,0.15957983659586691,21625.62455414769,22.606699694424986,0
362055,2237397,0.16181966730997346,24177.379049299434,14.974948246530094,0
282488,1944957,0.14524118258594787,41568.91120450739,6.795655498654709,0
262587,394649,0.6653667806917521,25070.53337064771,10.473929537830807,0
80784,383680,0.21054990995123554,5578.310188625856,14.48180493166517,0
203891,1211681,0.16827104801424797,7579.3303722083765,26.900925277992947,0
476917,2726947,0.17489039028246964,20776.616998685797,22.954506983989113,0
311717,2066986,0.15080743129976143,11680.006449187056,26.688084579071095,0
416789,3994459,0.10434176334222899,55569.222859101115,7.500356826238004,0
330206,264699,1.2474726105024556,25472.88528397634,12.963038788845617,0
280715,2203713,0.1273826821447792,13717.603847385559,20.463850911797657,0
289248,2250401,0.12853170233584932,29184.117864949334,9.91114418254842,0
411142,2596085,0.15836994614199992,84207.40794951082,4.882492051608013,0
125182,1144372,0.109389158954292,5730.349818875966,21.84543770567833,0
183056,985252,0.1857959326183224,16514.93453015841,11.084270401781854,0
469705,1745754,0.2690555089345298,20433.986254308515,22.98645962438986,0
285748,2591840,0.11024904691298579,12429.887358651482,22.988784351381344,0
395900,2947530,0.13431580532995244,14081.977221244557,28.11394975151157,0
113301,326801,0.3466961646501551,11248.790896248445,10.072282527519176,0
119419,895723,0.1333212016201419,4197.061489961644,28.45300224588593,0
347773,966100,0.3599758203334848,30047.349018991787,11.574165820092345,0
105509,283550,0.372098846415636,39325.77432981253,2.6829478070827086,0
19152,100131,0.1912675268645388,666.6220093952451,28.72992450005448,0
283833,1677750,0.16917468682778314,12693.968891757884,22.35967351269397,0
459442,1989748,0.2309045010199779,16273.862701519329,28.231896042548428,0
417158,1295867,0.3219139603725071,48846.098718313515,8.540252158226057,0
198349,1459526,0.13589950716910343,64841.89138786294,3.0589638234569887,0
24551,60343,0.40685072252419463,828.9272595690148,29.617797842436538,0
135964,354521,0.3835135760263115,10727.417872892347,12.674438677696548,0
482926,3290770,0.14675162750613763,54059.212773376035,8.933278440892119,0
468961,3036298,0.15445152140813537,181383.52519528964,2.585466345386579,0
292168,896394,0.32593666854455905,81555.60278423902,3.5824393423092054,0
7947,79126,0.10043348035436703,564.3283409115071,14.082227355733986,0
259591,1010465,0.256902260937033,15783.980974288697,16.446484598711855,0
327499,1663782,0.1968399725204549,11558.090222828692,28.335044430882533,0
260492,369072,0.7058007494452317,14576.590802292987,17.87057094029305,0
233391,598504,0.38995664196623253,18417.686583213374,12.672112696972595,0
470646,2053505,0.2291914413690537,21037.07090967498,22.372221019778433,0
435396,1284676,0.338914762232063,16753.449806679484,25.988438502165128,0
14834,75267,0.19708242546633364,1300.4874431914038,11.406492294610148,0
111688,210039,0.531746334031613,8226.23988180267,13.577041467884483,0
113491,579486,0.19584736154564295,4275.62949990129,26.54369374208409,0
359054,3381749,0.10617402232571893,24328.619231583074,14.758503003486574,0
467636,2199447,0.21261516525964697,18353.509404011937,25.479377796694205,0
63821,101134,0.6310476096306916,3562.8441468164524,17.912936230181913,0
236745,2270320,0.1042782055929536,60973.72911400269,3.8827377534570253,0
387921,2557279,0.15169281424013015,15528.88821660115,24.98060354284045,0
